"","x"
"1","Acetate"
"var","rel.inf"
"SL_60_MEAN","SL_60_MEAN",25.9316148674738
"Season","Season",23.800743820724
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",13.3501485798996
"Lowland_Water","Lowland_Water",6.82010805727137
"NDVI2012_MEAN","NDVI2012_MEAN",6.81067971297797
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",5.88529548232505
"area_km2","area_km2",4.00193014488037
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",3.64275010150643
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",3.11903739966393
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",2.91064545426203
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",2.38421093826654
"SP_1000_MEAN","SP_1000_MEAN",0.791225897963197
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",0.551609542785689
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Br"
"var","rel.inf"
"Season","Season",33.3604235813541
"NDVI2012_MEAN","NDVI2012_MEAN",13.5634683574213
"SP_1000_MEAN","SP_1000_MEAN",8.1932573301338
"Upland_Moist_Sedge_Shrub","Upland_Moist_Sedge_Shrub",7.06454378160683
"Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra",6.54630398949093
"Lowland_Low_Birch.Willow_Shrub","Lowland_Low_Birch.Willow_Shrub",5.78768270527397
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",5.06177899573305
"SL_60_MEAN","SL_60_MEAN",4.33664042594743
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",3.74499935930873
"area_km2","area_km2",3.29457956328274
"Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Barrens",3.15797487501806
"Lowland_Water","Lowland_Water",2.97829482435614
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",1.72747430628269
"Upland_Birch.Aspen.Spruce_Forest","Upland_Birch.Aspen.Spruce_Forest",0.797689841118526
"Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Dryas_Dwarf_Shrub_Tundra",0.384888063671669
"Riverine_Water_Shrub_Wet_Sedge_Barrens","Riverine_Water_Shrub_Wet_Sedge_Barrens",0
"x"
"1","Cl"
"var","rel.inf"
"Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub",43.6681995234194
"Season","Season",22.9380029652163
"SL_60_MEAN","SL_60_MEAN",8.18976294121248
"area_km2","area_km2",5.2848860201309
"Upland_Shrubby_Tussock_Tundra","Upland_Shrubby_Tussock_Tundra",5.00646999025004
"Lowland_Wet_Sedge_Tundra","Lowland_Wet_Sedge_Tundra",3.59054924867507
