"","Site.ID","Season","sortchem","Watershed","Site","Sample.Date","Year","Latitude..degrees.","Longitude..degrees.","Area..km2.","Temperature..C.","Specific.Conductance..uS.cm.","pH","Dissolved.Oxygen..percent.saturation.","Turbidity..NTU.","DOC..uM.","TDN..uM.","Nitrate..uM.","Ammonium..uM.","DON..uM.","SRP..uM.","PP..uM.","TDP..uM.","SUVA254..L.mg.C.m.","Spectral.Ratio","abs254..Absorbance.","Acetate..ppm.","Formate..ppm.","Nitrite..ppm.","Sulfate..ppm.","Phosphate..ppm.","Al..ppm.","As..ppm.","B..ppm.","Ba..ppm.","Br..ppm.","Ca..ppm.","Ca.Na.ratio","Ca.Ba.ratio","Cd..ppm.","Cl..ppm.","Co..ppm.","Cr..ppm.","Cu..ppm.","F..ppm.","Fe..ppm.","K..ppm.","Mg..ppm.","Mn..ppm.","Mo..ppm.","Na..ppm.","Ni..ppm.","Li..ppm.","P..ppm.","Pb..ppm.","S..ppm.","Se..ppm.","Si..ppm.","Sr..ppm.","Ti..ppm.","V..ppm.","Zn..ppm.","area_km2","NDVI2012_MEAN","NDVI2012_STD","NDVI2012_RANGE","SL_60_MEAN","SL_60_STD","SL_60_RANGE","SP_1000_MEAN","SP_240_MEAN","Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Lowland_Low_Birch.Willow_Shrub","Lowland_Water","Lowland_Wet_Sedge_Tundra","Upland_Birch.Aspen.Spruce_Forest","Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Moist_Sedge_Shrub","Upland_Shrubby_Tussock_Tundra","Cloud_Ice_Snow","Riverine_Water_Shrub_Wet_Sedge_Barrens"
"1","KUP1.1","Early","2018-4401","KUP",1.1,"2018-06-06",2018,68.51307,-149.37295,7.16885,-7777,-7777,-7777,-7777,-7777,307.1605764,11.46460463,1.46,-7777,10.00460463,0.053,0.078325571,0.176860137,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0385,0.0089,0.0052,0.0218,-7777,4.493,4.461767627,206.1009174,2e-04,-7777,-7777,-7777,0.0041,-7777,0.0299,0.4117,1.2,0.0268,-7777,1.007,0.0023,-7777,0.0161,-7777,3.751,-7777,0.7527,0.014,-7777,0.004,-7777,7.16885,4380.451917,798.8104174,5022,8.630127393,8.45675128,41.7319376,174.3750818,0.292221873,0,3.128519585,0,0.162683018,5.005631335,0,0,10.58691027,39.53197347,41.58428232,0,0
"2","KUP1.1","Late","2018-4501","KUP",1.1,"2018-08-24",2018,68.51307,-149.37295,7.16885,-7777,-7777,-7777,-7777,-7777,243.2022101,8.683415373,2.591,-7777,6.092415373,0.052,0.010374906,0.101066129,-7777,-7777,-7777,0.4697,0.0869,0.0426,401.7091,0.0346,-7777,-7777,-7777,-7777,0.006,-7777,-7777,-7777,-7777,1.3273,-7777,-7777,-7777,1.4543,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0349,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,7.16885,4380.451917,798.8104174,5022,8.630127393,8.45675128,41.7319376,174.3750818,0.292221873,0,3.128519585,0,0.162683018,5.005631335,0,0,10.58691027,39.53197347,41.58428232,0,0
"3","KUP1.1","Early","2017-4401","KUP",1.1,"2017-06-05",2017,68.51307,-149.37295,7.16885,2.2,88.3,6.58,97.6,0.42,296.3079618,8.888677699,1.120320162,0.30849462,7.459862917,0.104784272,-7777,0.191634732,3.999504295,1.17442,14.2337,0.2595,0.2956,-7777,113.7648,0.219,0.0264,0.0052,0.0011,0.0286,-7777,3.946,4.128478761,137.972028,3e-04,5.0991,1e-04,0.0012,0.0092,1.4736,0.0142,0.3586,1.167,0.0088,0.007,0.9558,0.0011,0.3884,0.0099,0.0059,3.784,0.0058,0.6846,0.0137,0.0013,0.0056,0.0069,7.16885,4380.451917,798.8104174,5022,8.630127393,8.45675128,41.7319376,174.3750818,0.292221873,0,3.128519585,0,0.162683018,5.005631335,0,0,10.58691027,39.53197347,41.58428232,0,0
"4","KUP1.1","Late","2016-3143","KUP",1.1,"2016-08-26",2016,68.51307,-149.37295,7.16885,7,114.7,7.34,-7777,-7777,283.3268648,7.54756053,2.705742904,0.276596376,4.56522125,0.145039644,0.063298569,0.08287349,3.329715824,0.830395153,11.3308697,-7777,-7777,-7777,294.4267715,-7777,3.946,3e-04,1e-04,0.0012,-7777,0.0092,0.00243129,7.666666667,0.0142,2.284908322,0.3586,1.167,0.0088,-7777,0.007,0.9558,0.0011,0.0099,0.0059,3.784,0.0058,-7777,0.6846,0.0137,0.0013,0.0056,0.0069,-7777,-7777,-7777,-7777,7.16885,4380.451917,798.8104174,5022,8.630127393,8.45675128,41.7319376,174.3750818,0.292221873,0,3.128519585,0,0.162683018,5.005631335,0,0,10.58691027,39.53197347,41.58428232,0,0
"5","KUP1.1","Late","2017-4501","KUP",1.1,"2017-08-27",2017,68.51307,-149.37295,7.16885,2.7,211.5,6.35,98.1,0.31,255.4240183,8.892362745,1.853145298,0.25825672,6.780960727,0.071500628,-7777,0.074041485,3.197969888,1.12592,9.8108,0.1612,-7777,0.0274,873.7437,0.0695,0.0178,4e-04,3e-04,0.0804,-7777,27.04,10.44015444,336.318408,3e-04,2.1626,8e-04,8e-04,0.0019,0.9738,0.0192,0.2233,7.533,0.039,0.0022,2.59,0.0031,0.3552,0.0145,0.0094,28.76,0.0141,1.987,0.0722,0.0012,0.016,0.0066,7.16885,4380.451917,798.8104174,5022,8.630127393,8.45675128,41.7319376,174.3750818,0.292221873,0,3.128519585,0,0.162683018,5.005631335,0,0,10.58691027,39.53197347,41.58428232,0,0
"6","KUP10.1","Late","2018-4521","KUP",10.1,"2018-08-24",2018,68.57704,-149.32295,4.13675,-7777,-7777,-7777,-7777,-7777,392.0599535,14.0470637,2.536,-7777,11.5110637,0.044,0.013092268,0.121632807,-7777,-7777,-7777,1.1329,0.0812,0.0907,63.3138,0.0312,-7777,-7777,-7777,-7777,0.0053,-7777,-7777,-7777,-7777,0.4949,-7777,-7777,-7777,1.3806,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0489,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,4.13675,5766.343988,590.4732635,3709,3.428206444,2.307468466,17.31217384,65.12502312,0.020213174,0,0,0,7.906168549,2.215464813,0,0,43.85317116,7.927888792,38.09730669,0,0
"7","KUP10.1","Early","2018-4421","KUP",10.1,"2018-06-06",2018,68.57704,-149.32295,4.13675,-7777,-7777,-7777,-7777,-7777,436.3105165,9.81769882,0.834,-7777,8.98369882,0.073,0.359634095,0.314600194,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0281,0.0191,-7777,0.0129,-7777,1.3,7.970570202,100.7751938,-7777,-7777,0.0019,-7777,-7777,-7777,0.2065,0.3197,0.3374,0.0302,-7777,0.1631,-7777,-7777,-7777,-7777,0.2285,-7777,0.2318,0.0034,8e-04,0.002,-7777,4.13675,5766.343988,590.4732635,3709,3.428206444,2.307468466,17.31217384,65.12502312,0.020213174,0,0,0,7.906168549,2.215464813,0,0,43.85317116,7.927888792,38.09730669,0,0
"8","KUP10.1","Early","2017-4421","KUP",10.1,"2017-06-05",2017,68.57704,-149.32295,4.13675,3.8,17.2,6.8,98,3.16,489.2952076,15.82319665,1.469695319,0.675279083,13.67822225,0.165562902,-7777,0.452574649,4.500050917,0.88635,26.4458,0.0746,-7777,0.0963,11.5193,-7777,0.0212,0.0141,0.0023,0.0185,-7777,2.123,7.011228534,114.7567568,0.0011,1.3515,0.0018,7e-04,0.0099,0.6938,0.3928,0.11,0.5234,0.0236,0.0086,0.3028,0.0015,0.3324,0.0207,0.006,0.4013,0.0011,0.5321,0.006,6e-04,0.0036,0.0085,4.13675,5766.343988,590.4732635,3709,3.428206444,2.307468466,17.31217384,65.12502312,0.020213174,0,0,0,7.906168549,2.215464813,0,0,43.85317116,7.927888792,38.09730669,0,0
"9","KUP10.1","Late","2017-4521","KUP",10.1,"2017-08-27",2017,68.57704,-149.32295,4.13675,2.8,49.7,7.22,99.4,1.37,441.4489283,14.21504272,1.940847951,0.466242022,11.80795275,0.076289222,-7777,0.103892093,3.499625197,1.05174,18.5554,0.0376,0.1193,0.0286,66.0747,0.0377,0.024,0.0058,0.0015,0.0245,0.0059,7.342,11.61341348,299.6734694,4e-04,0.4694,6e-04,7e-04,0.0011,1.3009,0.1092,0.0545,1.545,0.0548,9e-04,0.6322,0.0021,0.3094,0.0168,0.0035,2.126,0.012,1.499,0.0179,3e-04,0.0017,4e-04,4.13675,5766.343988,590.4732635,3709,3.428206444,2.307468466,17.31217384,65.12502312,0.020213174,0,0,0,7.906168549,2.215464813,0,0,43.85317116,7.927888792,38.09730669,0,0
"10","KUP10.1","Late","2016-3109","KUP",10.1,"2016-08-26",2016,68.57704,-149.32295,4.13675,8.6,49.7,6.74,-7777,-7777,522.2324254,13.74609623,1.653037942,0.58593069,11.5071276,0.064049531,0.108303359,0.166134269,3.351001375,0.698179373,21.01874392,-7777,-7777,-7777,22.05588822,-7777,16.9,3e-04,5e-04,6e-04,-7777,3e-04,3.41064e-05,0.5,0.016,0.885754584,0.3452,3.542,0.003,-7777,8e-04,2.219,0.0011,0.0061,0.0024,8.796,0.0044,-7777,1.486,0.0725,9e-04,0.008,2e-04,-7777,-7777,-7777,-7777,4.13675,5766.343988,590.4732635,3709,3.428206444,2.307468466,17.31217384,65.12502312,0.020213174,0,0,0,7.906168549,2.215464813,0,0,43.85317116,7.927888792,38.09730669,0,0
