uniqueID,area_km2,NDVI2012_MEAN,NDVI2012_STD,NDVI2012_RANGE,SL_60_MEAN,SL_60_STD,SL_60_RANGE,SP_1000_MEAN,SP_240_MEAN,Alpine_Non-Carbonate_Barrens,Alpine_Non-Carbonate_Dryas_Dwarf_Shrub,Lowland_Low_Birch-Willow_Shrub,Lowland_Water,Lowland_Wet_Sedge_Tundra,Upland_Birch-Aspen-Spruce_Forest,Upland_Dryas_Dwarf_Shrub_Tundra,Upland_Low_Birch-Willow_Shrub_Tundra,Upland_Moist_Sedge_Shrub,Upland_Shrubby_Tussock_Tundra,Cloud_Ice_Snow,Riverine_Water_Shrub_Wet_Sedge_Barrens
KUP19.1,656.5008,5157.306789,940.7345475,14556,3.97761194,4.068666905,45.48372269,13.5417381,0.010405811,0.038391137,1.759822304,0.907676171,2.207353274,2.961602007,0,0.053062036,19.03802779,14.6337417,55.59749635,0.488115886,2.314711347
KUP19.2,631.5684,5167.81443,886.6255542,14556,4.066761687,4.114684784,45.48372269,14.66896125,0.010820125,0.039905822,1.829254388,0.92111189,2.259809706,3.038543323,0,0.046176737,19.33622366,14.97294955,55.68230405,0.507374026,1.36634685
KUP18.1,438.711525,5022.416603,961.3161456,14556,4.686244146,4.49498917,45.48372269,15.47707233,0.013232681,0.059902474,2.546470575,0.988595964,2.967429056,3.300995571,0,0.043080546,21.4219042,17.52762796,50.26699681,0.72498405,0.152012785
KUP18.2,251.76085,5069.548779,854.7030497,14556,5.478892339,5.201272625,45.48372269,32.67732365,0.029451176,0.104399808,4.260012728,1.094052786,1.629638105,2.569593913,0,0.015016411,23.7531016,13.9159224,51.39473854,1.263523708,0
KUP17.1,243.139375,5069.489878,852.0819438,14556,5.494487687,5.189676711,45.48372269,34.86362968,0.029563035,0.108083298,4.282245468,1.064916606,1.687135867,2.504053124,0,0.004441779,23.94637292,13.70251923,51.39656947,1.303662247,0
KUP17.2,224.056075,5043.260884,869.0471696,14556,5.705341806,5.325065429,45.48372269,37.42792245,0.024475658,0.117291216,4.646660213,0.966849164,1.782665804,2.504488799,0,0.004820187,24.31824481,13.53628998,50.70796496,1.414724868,0
KUP16.1,200.15995,5045.579104,844.3271065,14556,5.726128864,5.299412251,45.48372269,38.9037627,0.028200281,0.131315039,4.195785327,0.989359884,1.990412203,2.547151993,0,0,25.19045178,13.25967099,50.11197755,1.583875233,0
KUP16.2,180.9038,5023.988249,861.8464119,14556,5.930519062,5.495200886,45.48372269,44.0842496,0.039546885,0.145300379,4.528196733,0.859859775,2.188960157,2.469608833,0,0,25.49026438,13.73337381,48.83187452,1.752561417,0
KUP14.1,145.331375,4975.365493,910.6333726,14556,6.536979229,5.885805975,45.48372269,56.18688421,0.058922537,0.18097304,5.639293461,0.816237992,2.555934304,2.548497056,0,0,25.65292842,13.68639603,46.73690734,2.182832352,0
KUP14.2,133.386975,4961.53264,935.8490019,14556,6.782048448,6.056228503,45.48372269,57.97410892,0.043434776,0.197206689,6.145824891,0.830699408,2.716319529,2.589350839,0,0,25.58824324,13.78218116,45.7715374,2.378636843,0
KUP14.4,131.4434,4961.91792,941.018872,14556,6.813349071,6.081240893,45.48372269,59.54943546,0.048290329,0.200094565,6.235138524,0.82710322,2.743762463,2.540241621,0,0,25.56893326,13.73731421,45.73394275,2.413469379,0
KUP13.1,101.394025,4939.845012,1035.835994,14556,7.736739952,6.575090865,45.48372269,72.00546549,0.074304253,0.259304318,8.054418386,0.738839702,3.343427257,2.865667931,0,0,26.48278557,15.52629008,39.62827127,3.10099548,0
KUP12.2,88.76755,4869.714029,1065.107818,14556,8.348180485,6.772381248,45.48372269,79.37446502,0.079413031,0.296365463,9.205598465,0.74903326,3.451845687,3.04485065,0,0,25.10174876,16.80351579,37.80283577,3.544206157,0
KUP12.1,88.75065,4870.063742,1064.975449,14556,8.343893454,6.769371335,45.48372269,79.33412762,0.083811029,0.296416607,9.206171962,0.749162522,3.452441377,3.045376104,0,0,25.10811085,16.78306771,37.81443508,3.544817785,0
KUP11.1,81.58175,4856.567425,1096.541578,14556,8.725933551,6.898348773,45.48372269,87.21930544,0.091401079,0.322324267,10.01081773,0.716398799,3.754194631,3.129415401,0,0,25.25388555,17.59206111,35.36625751,3.854645002,0
KUP11.2,80.7604,4853.252594,1101.233571,14556,8.763968603,6.926032771,45.48372269,88.6678844,0.087375564,0.325627558,10.11452723,0.723740702,3.792668919,3.161486735,0,0,25.21160215,17.77458098,35.00161699,3.89414874,0
OKS58,72.66395,4971.35213,1020.023201,9705,2.922043612,2.867542182,30.31105614,40.3783517,-0.05995953,0,0.102754565,0.493964717,4.090374497,3.970287837,0,0,12.07180439,21.05973383,58.21108016,0,0
OKS58,72.66395,4971.35213,1020.023201,9705,2.922043612,2.867542182,30.31105614,40.3783517,-0.05995953,0,0.102754565,0.493964717,4.090374497,3.970287837,0,0,12.07180439,21.05973383,58.21108016,0,0
OKS58,72.66395,4971.35213,1020.023201,9705,2.922043612,2.867542182,30.31105614,40.3783517,-0.05995953,0,0.102754565,0.493964717,4.090374497,3.970287837,0,0,12.07180439,21.05973383,58.21108016,0,0
OKS70,70.8291,4972.242243,1024.893702,9705,2.900943025,2.860420914,30.31105614,41.37008728,-0.065916077,0,0.105408872,0.504184605,4.149045605,3.8785385,0,0,11.91247254,20.89254645,58.55780343,0,0
OKS70,70.8291,4972.242243,1024.893702,9705,2.900943025,2.860420914,30.31105614,41.37008728,-0.065916077,0,0.105408872,0.504184605,4.149045605,3.8785385,0,0,11.91247254,20.89254645,58.55780343,0,0
OKS70,70.8291,4972.242243,1024.893702,9705,2.900943025,2.860420914,30.31105614,41.37008728,-0.065916077,0,0.105408872,0.504184605,4.149045605,3.8785385,0,0,11.91247254,20.89254645,58.55780343,0,0
OKS59,68.97735,4973.738208,1035.016575,9705,2.870006576,2.865720885,30.31105614,42.20445434,-0.070530511,0,0.108195482,0.457549568,4.258730593,3.906769387,0,0,11.85718196,20.83088916,58.58068385,0,0
OKS59,68.97735,4973.738208,1035.016575,9705,2.870006576,2.865720885,30.31105614,42.20445434,-0.070530511,0,0.108195482,0.457549568,4.258730593,3.906769387,0,0,11.85718196,20.83088916,58.58068385,0,0
OKS59,68.97735,4973.738208,1035.016575,9705,2.870006576,2.865720885,30.31105614,42.20445434,-0.070530511,0,0.108195482,0.457549568,4.258730593,3.906769387,0,0,11.85718196,20.83088916,58.58068385,0,0
